Event,Type,Net,Length,Maturity,Comment,image_name
2,RMT8,1,28,J,,JR255A_krill_image_1.JPG
2,RMT8,1,32,J,,JR255A_krill_image_1.JPG
2,RMT8,1,24,J,,JR255A_krill_image_1.JPG
2,RMT8,1,28,J,,JR255A_krill_image_1.JPG
2,RMT8,1,23,J,First of two krill together in photo,JR255A_krill_image_1.JPG
2,RMT8,1,23,J,Second of two krill together in photo,JR255A_krill_image_1.JPG
2,RMT8,1,25,J,,JR255A_krill_image_1.JPG
2,RMT8,1,24,J,,JR255A_krill_image_1.JPG
2,RMT8,1,28,J,,JR255A_krill_image_1.JPG
2,RMT8,1,28,J,,JR255A_krill_image_1.JPG
2,RMT8,1,23,J,,JR255A_krill_image_1.JPG
2,RMT8,1,23,J,,JR255A_krill_image_1.JPG
2,RMT8,1,22,J,,JR255A_krill_image_1.JPG
2,RMT8,1,23,J,,JR255A_krill_image_1.JPG
2,RMT8,1,25,J,,JR255A_krill_image_1.JPG
2,RMT8,1,21,J,,JR255A_krill_image_1.JPG
2,RMT8,1,21,J,,JR255A_krill_image_1.JPG
2,RMT8,1,29,J,,JR255A_krill_image_1.JPG
2,RMT8,1,27,J,,JR255A_krill_image_1.JPG
2,RMT8,1,22,J,,JR255A_krill_image_1.JPG
2,RMT8,1,27,J,,JR255A_krill_image_1.JPG
2,RMT8,1,33,J,,JR255A_krill_image_1.JPG
2,RMT8,1,27,J,,JR255A_krill_image_1.JPG
2,RMT8,1,27,J,,JR255A_krill_image_1.JPG
2,RMT8,1,25,J,,JR255A_krill_image_1.JPG
2,RMT8,1,21,J,,JR255A_krill_image_1.JPG
2,RMT8,1,25,J,,JR255A_krill_image_1.JPG
2,RMT8,1,24,J,,JR255A_krill_image_1.JPG
2,RMT8,1,26,J,,JR255A_krill_image_1.JPG
2,RMT8,1,21,J,,JR255A_krill_image_1.JPG
2,RMT8,1,23,J,,JR255A_krill_image_1.JPG
2,RMT8,1,26,J,,JR255A_krill_image_1.JPG
2,RMT8,1,25,J,,JR255A_krill_image_1.JPG
2,RMT8,1,26,J,,JR255A_krill_image_1.JPG
2,RMT8,1,24,J,,JR255A_krill_image_1.JPG
2,RMT8,1,25,J,,JR255A_krill_image_1.JPG
2,RMT8,1,26,J,,JR255A_krill_image_1.JPG
2,RMT8,1,28,J,,JR255A_krill_image_1.JPG
2,RMT8,1,25,J,,JR255A_krill_image_1.JPG
2,RMT8,1,30,J,,JR255A_krill_image_1.JPG
2,RMT8,1,26,J,,JR255A_krill_image_1.JPG
2,RMT8,1,18,J,,JR255A_krill_image_1.JPG
2,RMT8,1,22,J,,JR255A_krill_image_1.JPG
2,RMT8,1,23,J,,JR255A_krill_image_1.JPG
